Area,Bedrooms,Bathrooms,Stories,Parking,Price
1659,4,4,3,2,7175000
3172,2,3,3,3,9375000
1783,2,2,1,1,5758000
2322,3,4,3,1,8349000
2419,2,1,3,2,6882000
3225,1,1,1,1,7535000
3329,5,3,2,1,10318000
3204,5,1,2,3,9689000
2197,4,2,2,0,7047000
3293,2,3,1,2,8552000
1395,1,1,3,2,4527000
1651,4,3,2,3,7365000
2243,3,1,2,3,6270000
1963,4,1,1,1,5999000
2581,4,1,2,2,7219000
1954,2,2,1,0,5380000
2263,3,2,3,3,7949000
2129,4,3,1,0,6918000
2638,1,1,1,0,5819000
2096,1,1,1,2,4611000
2837,5,2,1,2,8742000
2008,3,1,3,3,6755000
2000,3,2,3,2,7673000
1906,5,1,2,2,6392000
3280,4,3,3,2,9903000
3275,3,1,3,0,8257000
1572,1,1,2,3,5439000
2368,1,4,3,1,7320000
1882,2,2,1,0,5363000
1309,3,1,1,2,4780000
2079,4,1,2,0,6176000
2034,5,4,2,2,7910000
1248,5,4,2,2,6784000
917,4,2,1,0,4684000
1857,2,4,3,3,6731000
1283,5,3,1,2,6119000
1263,3,4,2,3,5908000
2598,2,3,3,1,8214000
2231,3,2,3,2,6430000
2095,1,2,1,3,5619000
1736,2,2,2,3,5995000
2453,5,2,1,1,8220000
2120,2,2,3,3,6736000
3089,2,3,1,3,8210000
1163,2,3,1,1,5440000
1891,2,2,2,2,5252000
2236,3,4,2,3,6985000
1298,1,1,3,3,4684000
2760,4,2,1,3,7892000
601,2,4,1,0,3372000
1241,5,1,1,1,5203000
2867,2,2,3,0,7620000
2189,5,2,3,1,7286000
1454,3,3,2,2,5341000
2359,5,1,2,2,7739000
3032,4,1,2,3,8700000
2261,1,4,1,1,6625000
1753,5,3,1,2,7736000
1676,5,3,2,1,6335000
2307,1,3,1,2,5816000
3377,4,3,2,0,9017000
2295,2,1,3,2,6410000
2333,5,1,2,0,7009000
2039,1,2,3,2,5962000
2894,3,2,1,3,8168000
1435,1,3,2,0,4220000
802,3,3,1,2,5143000
722,4,3,3,3,5363000
1000,2,2,3,0,4653000
1366,1,4,3,3,6113000
893,5,4,1,1,5813000
2927,4,2,1,1,8275000
797,1,2,1,0,3136000
2530,5,2,1,2,8143000
3399,1,2,3,0,8716000
2791,3,2,3,3,8412000
1208,1,2,2,2,4643000
1747,1,3,2,1,5504000
786,1,3,1,2,4413000
3111,4,3,3,1,8995000
2394,1,3,3,2,7970000
1259,5,2,3,2,6048000
3411,3,4,2,2,9246000
2555,3,1,2,3,7257000
3050,1,2,3,3,7784000
1969,4,1,3,0,6522000
2586,4,4,3,0,8311000
2134,5,3,2,1,7440000
746,1,4,3,3,3993000
2334,3,2,3,1,6898000
2443,4,3,1,0,6307000
1088,1,2,1,1,2946000
2559,4,3,2,0,8198000
2263,4,1,3,3,7627000
3198,3,1,3,2,8598000
2985,2,1,1,3,6938000
1240,5,4,2,1,6461000
2402,5,2,1,1,7422000
3120,3,4,1,3,8795000
2569,4,1,1,3,8001000
2798,1,2,1,0,6931000
2038,4,1,3,1,6369000
2234,3,4,3,1,7833000
862,5,4,1,3,6045000
2387,4,4,2,2,7478000
2791,5,1,2,1,7813000
2993,1,2,2,2,7231000
1223,5,2,2,3,5501000
1616,5,1,1,3,5832000
1480,2,2,3,0,5823000
2649,2,1,2,1,6907000
1927,2,2,1,2,5462000
2901,5,3,2,0,9079000
1052,3,3,2,1,5623000
1783,5,4,1,0,7425000
2656,3,3,3,3,8558000
2282,3,3,3,1,7166000
3463,2,3,1,0,8848000
2855,4,1,3,0,7916000
1754,1,3,1,2,5910000
1003,2,3,1,0,4391000
2799,2,4,1,1,8460000
2701,4,3,3,1,8321000
2296,1,3,1,2,7076000
1227,5,2,2,1,5648000
1186,5,4,3,3,7969000
2248,2,4,3,1,7186000
2043,1,4,3,1,7559000
2045,2,4,3,0,7020000
703,3,4,2,0,4322000
853,2,4,3,1,4768000
3157,2,1,3,2,7838000
2096,5,3,1,0,7314000
698,5,4,3,2,6192000
2800,5,3,2,1,8582000
2484,3,3,2,1,7560000
2519,5,1,2,3,8798000
1477,1,4,2,0,6086000
937,4,2,3,1,5133000
3469,1,1,3,3,8411000
1556,1,2,2,0,4605000
2304,5,3,2,1,8223000
760,4,3,3,1,4608000
2203,4,1,2,0,6200000
3448,4,1,1,0,7556000
997,3,2,2,0,4424000
1900,5,4,2,1,7961000
1415,4,2,1,1,5080000
2127,3,1,1,3,6887000
